"time.string","FLOW.OF.ALGAE","FLOW.OF.CO2","PAR.1","PAR.2","PRESSURE","SPEED","SUM.OF.WATER","TEMPERATURE","THICKNESS.OF.ALGAE","TURBIDITY","VOLUME.IN.TANK","pCO2","pH","pO2","TURBIDITY.diff","date","time","daily.evap","avg.daily.temp","daynight"
2023-10-02 13:20:00,17.520254,0.0645254745,563.36806,809.89586,15.515626,90.944849,251.1061,28.043979,6.1105018,0.02893517,52.344115,5.0206729,4.2017791,5.7500077,0,2023-10-02,"13:20:00",NA,NA,1
2023-10-02 13:30:00,17.395257,0.002893518,535.06947,766.49307,15.47743,90.620043,251.1061,27.844329,6.0184245,0.028793442,52.564274,5.0100858,3.8086735,5.7771422,-0.000141728000000001,2023-10-02,"13:30:00",NA,NA,1
2023-10-02 13:40:00,16.998263,0.1675347436,509.02778,716.23266,15.090278,89.430108,251.1061,27.546297,6.1538791,0.028935081,54.32406,4.9380069,3.8004761,5.8135714,0.000141639000000002,2023-10-02,"13:40:00",NA,NA,1
2023-10-02 13:50:00,16.375001,0.0436921363,460.24306,641.7535,14.616319,87.720421,251.1061,27.349536,6.0623867,0.02893517,58.208596,5.0027144,3.795693,5.8422886,8.89999999982571e-08,2023-10-02,"13:50:00",NA,NA,1
2023-10-02 14:00:00,16.027777,0.1284722291,321.61458,535.15627,14.361112,86.739964,251.1061,27.115161,6.0848453,0.02893517,60.179114,4.9831689,3.7917341,5.8692622,0,2023-10-02,"14:00:00",NA,NA,1
2023-10-02 14:10:00,15.977429,0.0656828726,230.29515,496.70141,14.392362,86.668056,251.1061,26.71007,5.9560144,0.02893517,59.275939,5.0023284,3.7883517,5.926291,0,2023-10-02,"14:10:00",NA,NA,1
2023-10-02 14:20:00,15.855324,0.1747685336,207.11806,322.39584,14.293404,86.336026,251.1061,26.232639,6.0487956,0.02893517,58.588049,4.9711186,3.7826954,5.9913841,0,2023-10-02,"14:20:00",NA,NA,1
2023-10-02 14:30:00,16.034143,0.0879629746,194.44446,300.86807,14.449653,86.956859,251.1061,25.766782,5.8827794,0.02893517,55.668815,5.0052897,3.8278866,6.0599072,0,2023-10-02,"14:30:00",NA,NA,1
2023-10-02 14:40:00,16.238426,0.1964699118,175.78125,249.6528,14.605903,87.457968,251.28612,25.410879,6.0918588,0.02893517,52.969168,4.9768774,3.8513528,6.1118836,0,2023-10-02,"14:40:00",NA,NA,1
2023-10-02 14:50:00,15.943867,0.0888310208,162.06596,219.44445,14.402778,86.631354,251.8062,25.002893,6.0784568,0.02893517,54.848384,5.0107065,3.8592679,6.176177,0,2023-10-02,"14:50:00",NA,NA,1
2023-10-02 15:00:00,15.118055,0.22598379,153.55902,209.80903,13.826389,84.360126,251.8062,24.64699,6.0898634,0.02893517,60.721317,4.9616258,3.8548051,6.2247924,0,2023-10-02,"15:00:00",NA,NA,1
2023-10-02 15:10:00,14.263309,0.0422453744,143.66321,195.48611,13.342014,82.176855,251.8062,24.308449,6.0859208,0.02893517,66.833136,5.0484757,3.8511577,6.2778508,0,2023-10-02,"15:10:00",NA,NA,1
2023-10-02 15:20:00,13.860532,0.2254051,130.46875,178.81943,12.989581,80.905865,251.8062,24.027776,6.12029,0.02893517,69.365495,4.9540484,3.8478175,6.3225266,0,2023-10-02,"15:20:00",NA,NA,1
2023-10-02 15:30:00,13.853009,0.0425347244,104.513895,186.54513,13.086806,81.033255,251.8062,23.839699,6.0490207,0.02893517,68.696059,5.0490437,3.8446736,6.3571662,0,2023-10-02,"15:30:00",NA,NA,1
2023-10-02 15:40:00,13.658565,0.22685185,80.815975,123.3507,12.913194,80.395144,251.8062,23.666089,6.0456922,0.02893517,69.669774,4.9490943,3.84433,6.3897637,0,2023-10-02,"15:40:00",NA,NA,1
2023-10-02 15:50:00,13.559608,0.0431134244,64.670141,95.74654,12.944443,80.245366,251.8062,23.478009,5.951366,0.02893517,69.87263,5.0612081,3.8414231,6.4180172,0,2023-10-02,"15:50:00",NA,NA,1
2023-10-02 16:00:00,13.831596,0.2265625,53.038196,78.038197,13.059026,80.934624,251.8062,23.237846,6.0675048,0.02893517,66.436546,4.9307316,3.8402098,6.4601192,0,2023-10-02,"16:00:00",NA,NA,1
2023-10-02 16:10:00,13.733795,0.0868055508,38.107641,55.90278,13.076389,80.745337,251.8062,22.997686,5.9860445,0.02893517,66.626082,5.0553886,3.8371485,6.4983216,0,2023-10-02,"16:10:00",NA,NA,1
